ID;Transmissor;Nome;"Status potência";"Status ONU";"Caixa FTTH";"Porta FTTH";Login;Número;"Porta de serviço";"ONU tipo";"PON ID";MAC/Serial;"Sinal RX";"Sinal TX";Temperatura;Voltagem;"Última atualização";"IP de gerência";"ID perfil";POP;"Slot N.";"Pon N.";Autenticação;Versão;"VLAN uplink";"Causa última queda";"ONU rede neutra"
"=""201618""";OLT_COTIA_01;65149x;Irregular;Autorizada;;"=""0""";65149x;"=""16""";;HWTC-EG8145X6-10;0/12/3;4857544357F5F3AC;-33.00;-33.98;48.00;3.34;"14/03/2026 11:14:09";;"GENIEACS (TR069)";COTIA;"=""12""";"=""3""";MAC;;"=""2212""";LOSi/LOBi;Não
"=""198954""";OLT_SNTN_01;"=""17755745805""";Irregular;Autorizada;;"=""0""";17755745805;"=""13""";;HWTC-EG8145X6-10;0/12/14;48575443A4F99DB4;-33.97;-33.98;43.00;3.22;"20/03/2026 00:07:02";;"GENIEACS (TR069)";Santana;"=""12""";"=""14""";MAC;;"=""1000""";-;Não
"=""198255""";OLT_CCDA_01;7119xyz;Irregular;Autorizada;;"=""0""";7119xyz;"=""34""";;HWTC-EG8145X6-10;0/17/1;48575443804345B3;-33.00;-28.24;41.00;3.18;"20/03/2026 00:07:00";;"GENIEACS (TR069)";"CAUCAIA DO ALTO";"=""17""";"=""1""";MAC;;"=""1717""";dying-gasp;Não
"=""190867""";OLT_ITPV_01;10835@diginetbrasil.com.br;Indefinido;Autorizada;;;;"=""45""";;;0/1/10;464854549100E480;-33.97;-31.79;42.00;3.28;"22/01/2026 00:09:23";;;"DIGINET ITAPEVI 01";"=""1""";"=""10""";MAC;;;;Não
"=""181926""";OLT_JNDR_01;39684_@diginetbrasil.com.br;Indefinido;Autorizada;;"=""0""";;"=""62""";;AN5506-01-A1;0/6/14;"=""4648545410112278""";-35.22;-32.22;46.00;3.24;"20/03/2026 00:09:13";;;"DIGINET JANDIRA 01";"=""6""";"=""14""";MAC;;"=""0""";;Não
"=""176612""";OLT_JNDR_01;6437@diginetbrasil.com.br;Indefinido;Autorizada;;;;"=""13""";;;0/5/12;"=""4648545492396688""";-35.22;-35.23;43.00;3.22;"20/03/2026 00:09:13";;;"DIGINET JANDIRA 01";"=""5""";"=""12""";MAC;;;;Não
"=""171624""";OLT_SNTN_01;34727@diginetbrasil.com.br;Irregular;Autorizada;;"=""0""";34727@diginetbrasil.com.br;"=""5""";;HG6145E;0/12/14;46485454fe28de6f;-33.00;-27.96;44.00;3.24;"20/03/2026 00:07:02";;"FIBERHOME 2.4 + 5.8 C/ UNM";Santana;"=""12""";"=""14""";MAC;;"=""1000""";dying-gasp;Não
"=""170176""";OLT_JNDR_03;39933@diginetbrasil.com.br;Indefinido;Autorizada;;"=""0""";39933@diginetbrasil.com.br;"=""4""";;HWTC-EG8145X6-10;0/3/0;48575443D39BF4B3;-33.97;-34.56;42.00;3.18;"20/03/2026 00:09:32";;"GENIEACS (TR069)";JANDIRA;"=""3""";"=""0""";MAC;;"=""1001""";-;Não
"=""166902""";OLT_EMBU_01;127715xx;Irregular;Autorizada;;"=""0""";127715xx;"=""48""";;HWTC-EG8145X6-10;0/5/14;48575443D3C696B3;-33.97;-24.82;43.00;3.24;"20/03/2026 00:09:51";;"GENIEACS (TR069)";COTIA;"=""5""";"=""14""";MAC;;"=""1805""";-;Não
"=""165656""";OLT_JNDR_01;"=""127169""";Indefinido;Autorizada;"NAP 05 SLOT 06 PORTA 03";"=""2""";127169;"=""22""";;"GPON CURRENCY SFU";0/11/13;46485454fe27e6a4;-33.00;-32.22;44.00;3.24;"20/03/2026 00:09:13";;"FIBERHOME 2.4 + 5.8 C/ UNM";"DIGINET JANDIRA 01";"=""11""";"=""13""";MAC;;"=""1010""";;Não
"=""164320""";OLT_SNTN_01;33655@diginetbrasil.com.br;Regular;Autorizada;;"=""0""";33655@diginetbrasil.com.br;"=""68""";;AN5506-02-B;0/12/4;4648545492c7dc50;-33.00;-33.02;41.00;3.24;"20/03/2026 00:07:02";;"Bridge 1 Porta";Santana;"=""12""";"=""4""";MAC;;"=""1000""";;Não
"=""162286""";OLT_JNDR_01;20853@diginetbrasil.com.br;Indefinido;Autorizada;"NAP 01 SLOT 05 PORTA 07";"=""6""";20853@diginetbrasil.com.br;"=""47""";;AN5506-02-B;0/6/1;464854542323d188;-36.98;-33.02;43.00;3.18;"20/03/2026 00:09:13";;"Roteador PPPoE 1 porta";"DIGINET JANDIRA 01";"=""6""";"=""1""";MAC;;"=""1014""";;Não
"=""159873""";OLT_JNDR_03;8456@diginetbrasil.com.br;Indefinido;Autorizada;"NAP 16 SLOT 14 PORTA 03";"=""2""";8456@diginetbrasil.com.br;"=""28""";;HG6145E;0/4/11;46485454fe0357b2;-33.00;2.13;45.24;3.22;"09/12/2025 08:53:15";;"FIBERHOME 2.4 + 5.8 C/ UNM";JANDIRA;"=""4""";"=""11""";MAC;;"=""1014""";;Não
"=""158630""";OLT_JNDR_02;37143@diginetbrasil.com.br;Indefinido;Autorizada;"NAP 07 SLOT 04 PORTA 01";"=""1""";37143@diginetbrasil.com.br;"=""0""";;AN5506-02-B;0/10/8;46485454073b93f8;-33.97;-29.69;48.00;3.24;"20/03/2026 00:07:08";;"Bridge 1 Porta";"DIGINET JANDIRA 01";"=""10""";"=""8""";MAC;;"=""1040""";dying-gasp;Não
"=""158231""";OLT_JNDR_03;36784@diginetbrasil.com.br;Indefinido;Autorizada;"NAP 04 SLOT 14 PORTA 07";"=""4""";36784@diginetbrasil.com.br;"=""42""";;AN5506-01-A1;0/3/7;46485454072a1a88;-33.01;1.72;44.75;3.26;"18/10/2025 04:20:17";;"Bridge 1 Porta";JANDIRA;"=""3""";"=""7""";MAC;;"=""1014""";;Não
"=""156951""";OLT_SNTN_01;PON[12]-AN5506-01-A1[17];Regular;Autorizada;;"=""0""";435758178;"=""12""";;AN5506-01-A1;0/14/15;4648545413cca6e0;-33.00;-33.02;35.00;3.26;"20/03/2026 00:07:02";;"BRIDGE 2 PORTAS";Santana;"=""14""";"=""15""";MAC;;"=""1000""";;Não
